Epoch,Stage,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75
1,Stage 1 (Augmented),123.7390771867367,123.97401210239956,0.00021758198718187021,0.0006606415933888572,0.0001610398441443351
2,Stage 1 (Augmented),22.63812644026894,15.606623922075544,0.32945562709142595,0.6603464169438735,0.2788525053825333
3,Stage 1 (Augmented),19.886186794576318,11.241958795275007,0.4309487865094605,0.8647340847938348,0.3696917869576285
4,Stage 1 (Augmented),19.235785325241395,10.948393487930298,0.45491539087094923,0.8966366074799166,0.3973131075495268
5,Stage 1 (Augmented),18.920866766074898,10.926141589028495,0.4605735508332623,0.909478659646668,0.3972637426749563
6,Stage 1 (Augmented),18.663957256368896,10.933353090286255,0.4613015347366405,0.9031707237699853,0.40473562441376454
7,Stage 1 (Augmented),18.442673424388158,11.022088847841536,0.45604537728062605,0.9013166466825596,0.3930593804606779
8,Stage 1 (Augmented),18.239474663426186,11.100186817986625,0.43743367269190864,0.8611960515847696,0.3808375028145199
9,Stage 1 (Augmented),18.04898173734843,11.165212747028896,0.4133948102687142,0.8051433040571603,0.36825352389818145
10,Stage 1 (Augmented),17.88219099356856,11.248350586209979,0.37501164842757434,0.7217781271633751,0.3373254610583979
11,Stage 1 (Augmented),17.685252819837615,11.369964735848564,0.26904312269125585,0.515420799399618,0.2453969013903325
12,Stage 1 (Augmented),17.468813145721995,11.400993388039725,0.2577107591833356,0.4897913583093459,0.23781726189955307
13,Stage 1 (Augmented),17.192109461888634,11.467051226752146,0.22367880402682797,0.4248166853974381,0.20559541756558306
14,Stage 1 (Augmented),16.85320684915529,11.571440737588064,0.14909208640442964,0.28156036712445026,0.13783084964443718
15,Stage 1 (Augmented),16.398545271286658,11.700621312005179,0.12120937511403221,0.23571125170229318,0.10780796222865961
